Lewis;Abernathy;M
Andrew;Adamson;M
William;Addy;M
Seth (I);Adkins;M
Charles (I);Adler;M
Casey;Affleck;M
Shigekazu;Aida;M
Julliet;Akinyi;M
Henri;Alciatore;M
Dean;Alexandrou;M
Jim;Alfonso;M
Carl (I);Allen;M
Ivan (I);Allen;M
Richard (XV);Allen;M
Anthony;Allison;M
Bill (I);Allison;M
Frankie J.;Allison;M
Steve;Altes;M
Walter;Altman;M
Dion;Anderson;M
George (IV);Anderson;M
J. Todd;Anderson;M
Scott G.;Anderson;M
Kris;Andersson;M
David (I);Andrews;M
Jack (I);Angel;M
Joey;Ansah;M
Royce D.;Applegate;M
Julian;Arahanga;M
Raul;Aranas;M
Geoffrey;Arend;M
Guillaume (II);Aretos;M
Alun;Armstrong;M
Neil (I);Armstrong;M
William (I);Armstrong;M
Abraham;Aronofsky;M
Alexis;Arquette;M
Richmond;Arquette;M
Michael;Arturo;M
Graham;Ashley;M
Richard (II);Ashton;M
Edward;Asner;M
David (I);Aston;M
Rene;Auberjonois;M
Mark (III);Austin;M
Ryuichiro;Baba;M
James;Babson;M
Mike;Bacarella;M
Joe;Bacino;M
Kevin;Bacon;M
Michael;Badalucco;M
Diedrich;Bader;M
Eion;Bailey;M
Dylan (I);Baker;M
Kenny (I);Baker;M
Rick (I);Baker;M
Matthew;Balaban;M
Christian;Bale;M
Jeremy;Ball;M
Kirk;Baltz;M
John;Bandemer;M
Ian;Bannen;M
Christopher Daniel;Barnes;M
Roy;Barnitt;M
Jason;Barry;M
Thom;Barry;M
Billy;Barty;M
Dean;Batchelor;M
Joe;Bays;M
Scott;Beach;M
Lightning;Bear;M
Kevin (I);Beard;M
Lou;Beatty Jr.;M
William (II);Beck;M
Andy;Beckwith;M
Ned;Bellamy;M
Gil;Bellows;M
John;Belushi;M
Nat;Benchley;M
Lawrence;Bender;M
Jay (I);Benedict;M
David (I);Benn;M
Jon (I);Berg;M
Loys T.;Bergeron;M
Jules;Bergman;M
Scott Clark;Beringer;M
Xander;Berkeley;M
Jay;Bernard;M
Steve;Bernie;M
Doug;Beswick;M
Val;Bettin;M
Jack;Betts;M
Michael;Biehn;M
Stephen;Billington;M
John (I);Bishop;M
Larry;Bishop;M
Stephen (I);Bishop;M
John;Bisom;M
Richard (II);Bissell;M
Joel;Bissonnette;M
Abdul;Blackmanwest;M
Geoffrey;Blake;M
Matty;Blake;M
Paul (II);Blake;M
Don;Blakely;M
Andrew;Blesser;M
Bobby;Block;M
Stuart;Blumberg;M
Ben;Bode;M
Wolfgang;Bodison;M
Bain;Boehlke;M
Hale;Boggs;M
Bruce;Bohne;M
Bill;Bolender;M
Diedrich;Bollman;M
Josh;Bond;M
Rudy;Bond;M
Bruce;Bonnheim;M
Mark;Boone Junior;M
Tim (I);Booth;M
Eric Bruno;Borgman;M
Morne;Botes;M
Anderson;Bourell;M
David;Bowe;M
Douglass;Bowen Flynn;M
Cameron;Bowen;M
Michael (I);Bowen;M
Cayden;Boyd;M
Eric;Braeden;M
Zach;Braff;M
Richard;Brake;M
Mark;Bramhall;M
Larry;Brandenburg;M
Marlon;Brando;M
Barry;Brandt;M
Willy (I);Brandt;M
Chuck;Brauchler;M
Garrett;Brawith;M
Walter;Breaux;M
Charles;Brehm;M
Ewen;Bremner;M
Leonid;Brezhnev;M
I.D.;Brickman;M
Richard;Bright;M
Paul;Brightwell;M
Johnny;Brink;M
J. Paul;Broadhead;M
Stanley;Brock;M
Charley;Broderick;M
Josh;Brolin;M
Paul;Bronk;M
Randy (I);Brooks;M
Brian;Brophy;M
Clancy;Brown;M
Phil (I);Brown;M
W. Earl;Brown;M
Jon;Bruno;M
Raymond;Buck;M
Jason;Buckham;M
Kim;Bullard;M
Tom (V);Bullock;M
Edward;Bunker;M
Cliff;Bura;M
Ted;Burnett;M
Alex;Burns;M
Steve;Buscemi;M
Michael;Butcher;M
Mike;Butters;M
Ezra;Buzzington;M
Chris (I);Byrne;M
Eddie;Byrne;M
Michael (I);Byrne;M
James;Caan;M
Scott;Caan;M
Charles;Cabell;M
Earle;Cabell;M
John (I);Cadenhead;M
Harry;Caesar;M
Michael (I);Caine;M
Paul;Calderon;M
Philip;Caldwell;M
Roger;Callard;M
Cody;Cameron;M
James (I);Cameron;M
Hamilton;Camp;M
Bruce (I);Campbell;M
Sol;Campbell;M
Bruno;Campolo;M
John;Candy;M
Mickey;Cantwell;M
Jason Ninh;Cao;M
Mark;Capri;M
Paul;Carafotes;M
Chris;Carley;M
Francis M.;Carlson;M
Liam;Carney;M
David;Carradine;M
Price;Carson;M
Gary (I);Carter;M
Nicholas;Cascone;M
Aaron James;Cash;M
Marc;Cass;M
Vincent;Cassel;M
Richard S.;Castellano;M
Fidel (I);Castro;M
Frank;Cavestani;M
John;Cazale;M
Barry;Chambers;M
John (V);Chapman;M
Kevin (I);Chapman;M
Mark Lindsay;Chapman;M
Don;Cheadle;M
Ken;Cheeseman;M
Peter;Cheyenne;M
Sonny;Chiba;M
Jimmy;Chisholm;M
Fred;Chiverton;M
Arnold;Chon;M
Marcus;Chong;M
Tory;Christopher;M
Carl;Ciarfalio;M
Jude;Ciccolella;M
Franco;Citti;M
Eric (I);Clark;M
Spencer Treat;Clark;M
William Paul;Clark;M
Adam (I);Clarke;M
Christian;Clemenson;M
George;Clooney;M
Hugo;Codaro;M
Gary (I);Cole;M
Michael (XIII);Coleman;M
Daniel;Coli;M
Marty (II);Collins;M
Frank;Collison;M
Sydney 'Big Dawg';Colston;M
Vance;Colvig Jr.;M
Steven;Colvin;M
Tim;Condren;M
Jack;Conley;M
John (I);Connally;M
Brendan;Connolly;M
Michael S.;Connolly;M
Richard;Conte;M
Kevin (I);Conway;M
Gregory (I);Cooke;M
Christopher E.;Cooper;M
John Sherman;Cooper;M
Harold E.;Cope Jr.;M
Zachary David;Cope;M
Barry;Copping;M
Carmine;Coppola;M
Gian-Carlo;Coppola;M
Charles;Cork;M
Roger;Corman;M
Salvatore;Corsitto;M
Ralph;Cosham;M
James;Cosmo;M
Tony;Cosmo;M
Kevin;Costner;M
Richard;Cotovsky;M
Brian (I);Cox;M
Darryl;Cox;M
Sidney;Cox;M
Willard;Cox;M
Joe (I);Coyle;M
Chris;Cragnotti;M
John D.;Craig;M
Simon (I);Crane;M
Matt (I);Craven;M
Thomas (I);Crawford;M
Robert;Cray;M
Walter;Cronkite;M
David;Cronnelly;M
Trevor;Crouch;M
Tom;Cruise;M
Brett;Cullen;M
Joseph;Culp;M
Jim;Cummings;M
James (I);Cunningham;M
James;Curatola;M
Phill;Curr;M
Tim (I);Curry;M
Alfie;Curtis;M
Peter;Cushing;M
Vincent (I);D'Onofrio;M
Goro;Daimon;M
Sam (I);Dalton;M
Matt;Damon;M
Benjamin;Dane;M
Joshua;Daniel;M
Anthony;Daniels;M
J.D.;Daniels;M
Cesare;Danova;M
James;Daughton;M
Elwin 'Chopper';David;M
John (IV);Davies;M
Robert (V);Davies;M
Gary Lee;Davis;M
Norman;Davis;M
J.C.;Day;M
Charles;de Gaulle;M
Jesse;De Luna;M
Tim;De Zarn;M
Loren;Dean;M
Robertson;Dean;M
Dalton;Dearborn;M
Mickey;Dee;M
Benicio;Del Toro;M
Michael;Delano;M
Brian;Delate;M
Charlie;Dell;M
Michael;DeLorenzo;M
Martin (I);Dempsey;M
Jeffrey;DeMunn;M
Robert A.;Denham;M
Tony;Denman;M
Barry;Dennen;M
Peter;Dennis;M
Eugene C.;DePasquale;M
Thomas;Derrah;M
William;Devane;M
Fraser;Diamond;M
Peter (I);Diamond;M
Warwick;Diamond;M
Leonardo;DiCaprio;M
Paul (I);Dillon;M
Douglas;Dirkson;M
Steve;Dodd;M
Sean Patrick;Doherty;M
John;Doman;M
