#Mix Alleculidae undetermined 20-25 sp. 200 ex. former USSR;60.00
#Mix Anobiidae undetermined 20 25 sp. 100 ex. former USSR;70.00
#Mix Anthicidae (included Pedilidae) undetermined: Spain. NW Caucasus. S. SE Kazakhstan. S. SW Siberia. Uzbekistan. China û 35sp.. 100ex;90.00
#Mix Attelabidae undetermined - China (Sichuan. Gansu) - 10sp.. 40ex;60.00
#Mix Bembidion (s. lato) undetermined û S. SE Siberia. Far East of Russia. N. NW. W Caucasus.  Kirgizstan. Uzbekistan. NW Kazakhstan - 60sp.. 400ex;120.00
#Mix Bruchidae undetermined  S Russia. NW Caucasus. SE Ukraine. S Siberia. Uzbekistan - 20 sp. 160 ex.;80.00
#Mix Buprestidae undetermined S Russia. SE Ukraine. NW. W Caucasus. S. SE Siberia. Far East of Russia. NW Kazakhstan. Armenia. Georgia. Israel û 40sp. 200ex;100.00
#Mix Cantharidae undetermined 15 spec. 40ex. China(Sichuan);40.00
#Mix Cantharidae undetermined 50 sp. 400 ex.(S Russia. SE Ukraine. N. NW Caucasus. S.SE Siberia. Far East of Russia. Israel. Spain);100.00
#Mix Carabidae undetermined - China (Sichuan. S Gansu. Shanxi) - 60sp.. 200ex;160.00
#Mix Carabidae undetermined Uzbekistan (W Tian Shan. Gissar. Kyzyl-Kum desert. Katta-Kum desert) 50 sp. 300 ex.;150.00
#Mix Chrysomelidae (Alticinae) undetermined: S Russia. SE Ukraine. NW. W Caucasus. S. SE Siberia. Uzbekistan. Tadzhikistan  û 70sp. 450ex;135.00
#Mix Coccinellidae undetermined 20sp. 90ex China (N. NW Sichuan. S Thibet);45.00
#Mix Coccinellidae undetermined former USSR (Far East of Russia. Uzbekistan. Kirgizstan. NW Kazakhstan. NW Caucasus. SW Siberia) 80spec.. 300ex.;90.00
#Mix Curculionidae undetermined NW. S Russia. SE Ukraine. NW.W Caucasus. S. SE Siberia. Far East of Russia - 80 sp.. 600 ex.;180.00
#Mix Elateridae undetermined: China (N Sichuan. S Gansu. Shanxi)  - 40 sp.. 200ex.;100.00
#Mix Elateridae undetermined: Uzbekistan (W Tian Shan. Gissar. Kyzyl-Kum desert. Katta-Kum desert. Fergana valley)  û 50sp.. 300ex;150.00
#Mix Haliplidae undetermined 10 sp 90 ex. former USSR;45.00
#Mix Helodidae (Cyphonidae) undetermined 50 sp. 300 ex. - SE Azerbaijan (Talysh). Tadzhikistan. NW Kazakhstan. S. SW Siberia. Far East of Russia - 20 sp. 300ex;90.00
#Mix Histeridae undetermined 20sp. 80ex. Laos;80.00
#Mix Histeridae undetermined Tadzhikistan - 20sp. 90ex.;65.00
#Mix Languriidae NW India (Hymachal Pradesh) undetermined 1 spec.. 8ex.;16.00
#Mix Lycidae undetermined China (Sichuan) 12 spec.. 110ex.;70.00
#Mix Malachiidae (excepted Dasytinae) undetermined: Uzbekistan. Kirgizstan. Tadzhikistan. Kazakhstan. Azerbaijan. S Russia. Far East of Russia - 40 sp.. 200 ex.;80.00
#Mix Mordellidae undetermined NW. S Russia. NW. W Caucasus. SW Siberia - 25 sp.. 160 ex.;50.00
#Mix Mycteridae undetermined 3 sp. 20 ex. Israel;30.00
#Mix Nitidulidae undetermined 70 sp. 500 ex. N. NW Caucasus.S.SW. SE Siberia. Far East of Russia;150.00
#Mix Noctuidae Tadzhikistan (E Pamir) 3 localities. 20 spec. 600 ex. ((ak-1));800.00
#Mix Oedemeridae undetermined China (S Gansu. N Sichuan) 8 sp. 40ex.;40.00
#Mix Pterostichus (s. lato) undetermined û S. SE Siberia. Far East of Russia. N. NW. W Caucasus. SE. E. NE Kazakhstan. Kirgizstan  - 60sp.. 400ex;100.00
#Mix Sericinae undetermined - China (Sichuan. S Gansu. Shanxi) - 8sp. 60 ex;60.00
#Mix Staphylinidae undetermined China (Sichuan) 50 sp.. 200ex.;140.00
#Mix Tenebrionidae undetermined 20sp. 150 ex.China (S Thibet.S Gansu. N Sichuan);75.00
#Set of palaearctic Aphodiinae. determined 50sp. 50 ex.;50.00
#Set of palaearctic Calosoma. Callisthenes. determined 20sp.(ssp.) 20 ex.;40.00
#Set of palaearctic Chrysomelidae. determined 100sp. 100 ex.;60.00
#Set of palaearctic Cicindelidae. determined 40sp. 40 ex.;40.00
#Set of palaearctic Colias. determined 20sp. (ssp.) 20 ex.;50.00
#Set of palaearctic Coprinae (excepted Onthophagus). determined 30sp. 30 ex.;40.00
#Set of palaearctic Dorcadion (s. lato). Eodorcadion. determined 50sp.. (ssp.) 50 ex.;50.00
#Set of palaearctic Parnassius. determined 30sp. (ssp.) 30 ex. A-;60.00
#Set of palaearctic Rutelinae (Anomala. Popillia. Mimela. Anisoplia etc.). determined 50sp. 50 ex.;50.00
#Set of palaearctic Satyridae. determined 50sp. 50 ex.;75.00
#Set of palaearctic Tenebrionidae. determined 50sp. 50 ex.;40.00
Abax ater lombardus Italy;2.00
Abax ater subpunctatus Italy;1.50
Abax carinatus sulcatus Italy;2.50
Abax ovalis Italy A-;1.50
Abax parallelus S Russia;1.50
Abax teriolensis Italy;3.50
Abdera flexuosa Germany;4.50
Ablattaria laevigata Italy;2.50
Abraeus globosus Germany;3.00
Abraeus perpusillus Italy;3.50
Acalolepta permutans paucipunctata Taiwan;15.00
Acanthocinus carinulatus S Siberia;3.00
Acanthocinus griseus SW Siberia A-;1.50
Acanthoderes clavipes NE Kazakhstan;1.00
Acerbia alpina S Siberia (Tuva reg.) f;120.00
Achalarus lyciades lyciades USA m;6.00
Achenium depressum Moldavia;2.50
Achenium quadriceps Uzbekistan;4.00
Achenium tenellum italicum Italy;3.50
Acherontia atropos S Africa mA-;3.00
Achranoxia sp. propr. koenigi S Uzbekistan;6.00
Acilius sulcatus N Russia;1.00
Acinopus laevigatus Uzbekistan;0.99
Acinopus picipes Spain;1.00
Aclypea daurca Far East of Russia;3.00
Aclypea opaca C Russia;2.50
Acmaeodera bipunctata S Turkey;4.00
Acmaeodera cisti Spain (Canaries);4.00
Acmaeodera cyanipennis hispana Spain;3.00
Acmaeodera degener quatuordecimpunctata Spain;2.50
Acmaeoderella adspersula Italy;2.50
Acmaeoderella brevipes Greece;4.00
Acmaeoderella cylindrica France;3.00
Acmaeoderella discoidea Tunis;4.00
Acmaeoderella flavofasciata flavofasciata NW Caucasus;1.00
Acmaeoderella flavofasciata tschitscherini Kirgizstan;1.50
Acmaeoderella gibbulosa Turkey;4.50
Acmaeoderella longissima Israel;3.50
Acmaeoderella vetusta Turkey;3.50
Acmaeoderella virgulata Italy;3.50
Acmaeops angusticollis S Siberia;4.00
Acmaeops marginatus C Russia;4.50
Acraea issoria China (Yunnan) m A-;1.50
Acritus minutus Italy;4.00
Acupalpus brunnipes Italy (Sardegna);2.50
Acupalpus dubius Italy (Sicily);2.50
Acupalpus elegans SE Kazakhstan;1.50
Acupalpus exiguus SE Ukraine;2.00
Acupalpus flavicollis Germany;2.00
Acupalpus maculatus Italy;2.00
Acupalpus olivieri Spain;2.50
Acupalpus parvulus SW Siberia;2.00
Adavius fimbriatus Uzbekistan;3.00
Adelocera punctata Greece;2.50
Adelphium ordubadensis Armenia;7.00
Adesmia belutschistana afghanica Afghanistan;7.00
Adesmia cancellata clathrata Oman;6.00
Adesmia cothurnata omanica Oman A-;4.00
Adesmia gebleri gebleri Afghanistan;4.00
Adesmia jugalis conveniens Afghanistan;6.00
Adesmia jugalis kulzeri Afghanistan;7.00
Adesmia karelini S Turkmenistan;3.00
Adesmia karelini W Turkmenistan;2.50
Adesmia maillei Armenia;5.00
Adesmia panderi lindbergi Afghanistan;5.00
Adesmia planidorsis Tadzhikistan;4.00
Adesmia servillei provincialis Afghanistan;6.00
Adesmia servillei ssp. SE Iran (Sistan);5.00
Adesmia stoekleini rasalkhaymana Oman A-;4.00
Adoretosoma fairmairei Vietnam;5.00
Adoretus discolor NE Azerbaijan;4.00
Adoretus incurvatus NE India;3.00
Adoretus lithobius Afghanistan;9.00
Adoretus nigrifrons Uzbekistan;0.99
Adoretus punjabensis Afghanistan;8.00
Adoretus sinicus Vietnam;5.00
Adrastus axillaris Italy;2.50
Adrastus limbatus Italy;2.00
Adrastus pallens Italy;2.50
Aegalia arenaria Belgium;3.00
Aegus chelifer Laos male 20mm;10.00
Aegus insignis Malaysia male;3.00
Aegus laevicollis formosae Taiwan male;8.00
Aeloderma brahmina Vietnam;3.00
Aeolesthes sarta Turkmenistan;3.00
Aesalus ulanowskii NW Caucasus male;6.00
Aesalus ulanowskii NW Caucasus order of 10 pairs;70.00
Aethiessa sp. propr. szekessyi Uzbekistan (Kyzylkum desert) male;50.00
Agabus affinis N Russia;1.50
Agabus biguttatus Italy (Sicily);2.00
Agabus bipustulatus Italy;2.00
Agabus brunneus Italy (Sardegna);2.50
Agabus chalconotus Germany;3.00
Agabus conspersus Italy;2.50
Agabus dilatatus S Turkey;2.50
Agabus glacialis NW Caucasus;3.00
Agabus guttatus Italy;2.50
Agabus guttatus NW Russia;1.50
Agabus melanarius Austria;2.50
Agabus neglectus Germany;2.50
Agabus nigroaeneus Spain;2.50
Agabus solskyi Pakistan;4.00
Agabus sturmi N Russia;1.50
Agabus uliginosus Germany;2.50
Agabus undulatus Poland;2.50
Agabus zetterstedti Danmark;3.00
Agapanthia altaica S Siberia;3.50
Agapanthia amurensis SE Siberia 10ex;14.00
Agapanthia annularis Spain;4.00
Agapanthia cardui Hungary;2.00
Agapanthia dahli S Russia;1.50
Agapanthia daurica SE Siberia;2.00
Agapanthia helianthi NW Caucasus;4.00
Agapanthia incerta Uzbekistan;2.99
Agapanthia kirbyi Arnenia;4.50
Agapanthia muellneri Kirgizstan;5.50
Agapanthia soror Uzbekistan 10ex;9.00
